host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
474091953000000,12841,-0.86,-0.025,-0.507,0.12,0.04,0.05
474091968000000,12861,-0.862,-0.025,-0.516,-0.01,0.11,0.03
474092000000000,12881,-0.855,-0.024,-0.515,0.0,-0.08,-0.06
474092015000000,12901,-0.858,-0.027,-0.518,0.0,-0.13,-0.04
474092031000000,12921,-0.854,-0.025,-0.52,0.02,0.13,0.02
474092062000000,12941,-0.853,-0.029,-0.52,-0.01,0.17,0.01
474092078000000,12961,-0.855,-0.026,-0.517,0.0,-0.08,-0.03
474092093000000,12981,-0.859,-0.023,-0.521,-0.03,-0.02,0.01
474092109000000,13001,-0.856,-0.025,-0.517,0.06,0.05,-0.01
474092140000000,13021,-0.856,-0.025,-0.515,0.02,-0.16,0.04
474092156000000,13041,-0.855,-0.025,-0.519,0.08,-0.19,-0.02
474092171000000,13061,-0.861,-0.025,-0.518,0.01,-0.06,0.03
